Customer_ID,Age,Tenure_Months,Monthly_Charges_AED,Support_Calls,Contract_Type,Churned
CUST0001,38,11,68.55,3,One Year,0
CUST0002,34,72,38.29,2,Two Year,0
CUST0003,33,31,72.6,1,Two Year,0
CUST0004,48,21,77.21,0,Two Year,0
CUST0005,68,4,76.2,1,Month-to-Month,0
CUST0006,26,4,86.62,1,One Year,0
CUST0007,48,1,81.68,3,Month-to-Month,0
CUST0008,31,48,74.18,2,Two Year,0
CUST0009,66,22,63.6,1,Month-to-Month,0
CUST0010,54,29,31.78,3,Month-to-Month,1
CUST0011,19,1,73.59,3,Month-to-Month,1
CUST0012,69,72,69.15,2,One Year,0
CUST0013,65,42,70.43,6,Month-to-Month,1
CUST0014,63,5,39.47,0,Month-to-Month,0
CUST0015,31,4,43.38,1,Two Year,1
CUST0016,50,4,86.06,1,Two Year,0
CUST0017,52,8,64.21,2,Month-to-Month,0
CUST0018,56,17,78.63,2,Month-to-Month,0
CUST0019,64,13,65.57,1,Two Year,0
CUST0020,68,8,65.6,1,Two Year,0
CUST0021,37,22,83.77,0,One Year,0
CUST0022,19,3,54.68,4,One Year,1
CUST0023,68,8,66.92,1,Month-to-Month,0
CUST0024,58,10,55.75,5,Two Year,1
CUST0025,36,14,56.31,1,One Year,0
CUST0026,54,36,58.82,1,One Year,0
CUST0027,35,5,69.44,0,Month-to-Month,1
CUST0028,33,17,55.43,2,Two Year,0
CUST0029,21,21,90.12,1,One Year,0
CUST0030,29,1,47.11,1,Month-to-Month,1
CUST0031,46,22,61.26,5,One Year,0
CUST0032,24,4,56.21,2,One Year,0
CUST0033,31,1,93.94,6,One Year,1
CUST0034,29,71,68.93,2,One Year,0
CUST0035,52,72,85.64,4,One Year,0
CUST0036,22,39,35.29,1,Two Year,0
CUST0037,34,8,70.34,2,Month-to-Month,0
CUST0038,59,2,82.79,0,Month-to-Month,0
CUST0039,49,27,66.65,3,Month-to-Month,0
CUST0040,27,13,86.31,3,One Year,0
CUST0041,60,3,54.65,1,One Year,0
CUST0042,34,16,93.19,3,Two Year,0
CUST0043,22,1,110.98,1,One Year,0
CUST0044,62,57,57.74,3,One Year,0
CUST0045,59,7,56.09,0,Two Year,0
CUST0046,26,26,94.07,1,Month-to-Month,1
CUST0047,66,8,96.59,0,Two Year,1
CUST0048,50,17,54.54,4,Month-to-Month,0
CUST0049,53,18,56.6,6,One Year,1
CUST0050,53,4,59.36,3,One Year,1
CUST0051,35,72,38.11,2,One Year,0
CUST0052,26,35,46.63,4,Month-to-Month,0
CUST0053,46,67,44.92,1,Month-to-Month,0
CUST0054,67,54,49.64,0,One Year,0
CUST0055,31,21,64.31,3,Two Year,0
CUST0056,42,61,69.68,2,Month-to-Month,1
CUST0057,32,2,96.01,3,Two Year,0
CUST0058,23,5,45.03,5,Month-to-Month,1
CUST0059,59,1,84.69,1,One Year,0
CUST0060,46,9,60.72,2,One Year,1
CUST0061,32,11,64.01,5,One Year,0
CUST0062,46,7,78.5,2,Two Year,0
CUST0063,21,42,42.55,3,One Year,0
CUST0064,35,10,72.65,5,One Year,0
CUST0065,67,7,68.33,1,Month-to-Month,0
CUST0066,66,18,74.85,3,Month-to-Month,0
CUST0067,61,3,70.78,6,Month-to-Month,1
CUST0068,56,38,114.11,2,One Year,1
CUST0069,33,1,52.25,4,Month-to-Month,0
CUST0070,28,72,54.38,5,Month-to-Month,0
CUST0071,31,35,52.54,4,Month-to-Month,0
CUST0072,20,5,53.89,3,Month-to-Month,1
CUST0073,68,1,52.25,2,Month-to-Month,0
CUST0074,67,40,88.78,4,Two Year,0
CUST0075,59,29,93.41,3,One Year,0
CUST0076,55,31,53.59,6,One Year,0
CUST0077,62,35,48.35,1,One Year,0
CUST0078,59,1,74.43,2,Month-to-Month,0
CUST0079,35,10,53.96,1,Two Year,0
CUST0080,37,2,77.66,2,Month-to-Month,1
CUST0081,65,47,69.06,3,Month-to-Month,0
CUST0082,42,23,34.69,3,One Year,0
CUST0083,55,9,95.95,0,Month-to-Month,1
CUST0084,30,1,100.92,2,One Year,0
CUST0085,21,8,52.74,4,Month-to-Month,0
CUST0086,31,9,57.25,2,One Year,1
CUST0087,50,31,70.72,5,Month-to-Month,0
CUST0088,45,24,71.69,4,Month-to-Month,0
CUST0089,69,52,78.17,0,One Year,0
CUST0090,54,15,105.2,4,Month-to-Month,1
CUST0091,25,3,61.46,2,Month-to-Month,0
CUST0092,61,29,49.03,3,Month-to-Month,0
CUST0093,51,34,37.41,2,One Year,0
CUST0094,61,19,50.38,2,One Year,0
CUST0095,22,35,64.34,1,Month-to-Month,0
CUST0096,22,16,100.89,2,Two Year,1
CUST0097,48,17,54.65,1,Two Year,0
CUST0098,62,13,69.48,2,One Year,0
CUST0099,26,1,64.67,1,One Year,0
CUST0100,59,2,88.77,2,Month-to-Month,1
